FILIAL;SECAO;DATA;CMV;VALOR ESTOQUE;;VL_ESTQ;CMV;TOTAL
11;428;19/04/2021;R$ 2.910,30;R$ 17.675,06;;;;
11;433;19/04/2021;R$ 16.132,43;R$ 93.415,78;;;;
11;441;19/04/2021;R$ 262,70;R$ 26.819,33;;;;
12;413;19/04/2021;R$ 5.431,44;R$ 365.578,49;;;;
12;442;19/04/2021;R$ 0;R$ 0,00;;;;
14;411;19/04/2021;R$ 9.987,13;R$ 266.645,09;;;;
14;412;19/04/2021;R$ 3.145,68;R$ 314.676,24;;;;
14;428;19/04/2021;R$ 2.322,23;R$ 25.032,02;;;;
14;430;19/04/2021;R$ 0;R$ 0,00;;;;
14;431;19/04/2021;R$ 1.356,09;R$ 100.947,67;;;;
14;441;19/04/2021;R$ 98,24;R$ 27.220,51;;;;
14;443;19/04/2021;R$ 1.243,71;R$ 57.963,74;;;;
15;431;19/04/2021;R$ 2.914,78;R$ 117.054,83;;;;
15;435;19/04/2021;R$ 19.380,19;R$ 212.681,78;;;;
16;413;19/04/2021;R$ 12.070,23;R$ 0,00;;;;
16;421;19/04/2021;R$ 3.769,64;R$ 0,00;;;;
16;423;19/04/2021;R$ 2.715,55;R$ 0,00;;;;
16;428;19/04/2021;R$ 3.039,17;R$ 0,00;;;;
16;441;19/04/2021;R$ 193,74;R$ 0,00;;;;
17;413;19/04/2021;R$ 10.574,60;R$ 304.587,19;;;;
17;417;19/04/2021;R$ 0;R$ 1.199,52;;;;
17;420;19/04/2021;R$ 1.659,13;R$ 114.240,97;;;;
17;434;19/04/2021;R$ 1.557,34;R$ 7.475,11;;;;
17;440;19/04/2021;R$ 677,25;R$ 19.466,32;;;;
18;416;19/04/2021;R$ 4.915,97;R$ 82.438,33;;;;
18;432;19/04/2021;R$ 63,97;R$ 132,71;;;;
1;430;20/04/2021;R$ 0;R$ 109,08;;;;
1;435;20/04/2021;R$ 17.492,41;R$ 93.642,21;;;;
2;415;20/04/2021;R$ 2.613,73;R$ 99.392,73;;;;
2;427;20/04/2021;R$ 163,44;R$ 16.036,90;;;;
2;441;20/04/2021;R$ 250,55;R$ 20.895,35;;;;
2;445;20/04/2021;R$ 469,33;R$ 21.723,24;;;;
3;417;20/04/2021;R$ 0;R$ 0,00;;;;
3;423;20/04/2021;R$ 2.965,49;R$ 139.509,74;;;;
3;427;20/04/2021;R$ 445,36;R$ 17.912,72;;;;
3;435;20/04/2021;R$ 30.068,66;R$ 166.934,04;;;;
3;436;20/04/2021;R$ 44.650,86;R$ 556.294,61;;;;
4;411;20/04/2021;R$ 16.186,29;R$ 269.820,79;;;;
4;413;20/04/2021;R$ 11.860,66;R$ 302.368,15;;;;
4;422;20/04/2021;R$ 12,78;R$ 8.557,25;;;;
4;428;20/04/2021;R$ 3.557,55;R$ 36.522,61;;;;
4;436;20/04/2021;R$ 22.613,89;R$ 464.309,02;;;;
6;422;20/04/2021;R$ 0;R$ 0,00;;;;
7;421;20/04/2021;R$ 6.175,78;R$ 462.280,61;;;;
7;434;20/04/2021;R$ 2.285,74;R$ 7.255,57;;;;
7;435;20/04/2021;R$ 18.497,59;R$ 169.316,43;;;;
8;421;20/04/2021;R$ 10.479,44;R$ 458.952,72;;;;
8;425;20/04/2021;R$ 1.647,46;R$ 56.178,76;;;;
8;426;20/04/2021;R$ 1.975,90;R$ 24.835,90;;;;
9;417;20/04/2021;R$ 0;R$ 0,00;;;;
9;427;20/04/2021;R$ 324,76;R$ 16.230,66;;;;
9;440;20/04/2021;R$ 1.328,85;R$ 8.488,79;;;;
10;420;20/04/2021;R$ 1.537,07;R$ 159.299,74;;;;
10;435;20/04/2021;R$ 17.472,41;R$ 186.227,59;;;;
10;443;20/04/2021;R$ 1.565,18;R$ 70.011,80;;;;
11;414;20/04/2021;R$ 5.680,20;R$ 140.043,14;;;;
12;411;20/04/2021;R$ 8.072,68;R$ 230.744,38;;;;
12;413;20/04/2021;R$ 6.737,27;R$ 374.331,69;;;;
12;414;20/04/2021;R$ 3.696,74;R$ 131.534,80;;;;
12;416;20/04/2021;R$ 2.965,03;R$ 110.141,90;;;;
12;424;20/04/2021;R$ 2.468,28;R$ 96.343,35;;;;
12;433;20/04/2021;R$ 8.752,11;R$ 100.612,12;;;;
12;440;20/04/2021;R$ 709,57;R$ 14.569,43;;;;
14;414;20/04/2021;R$ 5.948,80;R$ 131.440,85;;;;
14;417;20/04/2021;R$ 0;R$ 2.262,96;;;;
14;424;20/04/2021;R$ 3.115,84;R$ 105.961,52;;;;
15;427;20/04/2021;R$ 212,10;R$ 12.062,57;;;;
15;431;20/04/2021;R$ 3.719,90;R$ 114.870,48;;;;
15;442;20/04/2021;R$ 0;R$ 154,60;;;;
16;425;20/04/2021;R$ 1.657,40;R$ 58.965,91;;;;
16;427;20/04/2021;R$ 399,48;R$ 15.360,59;;;;
17;412;20/04/2021;R$ 4.389,20;R$ 334.756,61;;;;
17;414;20/04/2021;R$ 5.405,99;R$ 120.786,99;;;;
17;416;20/04/2021;R$ 4.468,03;R$ 112.190,68;;;;
17;426;20/04/2021;R$ 1.587,32;R$ 18.937,65;;;;
17;443;20/04/2021;R$ 1.674,42;R$ 53.517,78;;;;
18;422;20/04/2021;R$ 111,44;R$ 10.656,35;;;;
1;416;21/04/2021;R$ 4.674,33;R$ 110.447,41;;;;
1;432;21/04/2021;R$ 509,19;R$ 1.681,88;;;;
1;444;21/04/2021;R$ 233,41;R$ 3.955,00;;;;
2;425;21/04/2021;R$ 665,68;R$ 40.811,22;;;;
2;430;21/04/2021;R$ 0;R$ 0,00;;;;
2;435;21/04/2021;R$ 10.750,68;R$ 153.966,63;;;;
2;443;21/04/2021;R$ 1.244,87;R$ 63.226,35;;;;
2;444;21/04/2021;R$ 300,46;R$ 4.105,38;;;;
3;411;21/04/2021;R$ 24.194,32;R$ 424.287,81;;;;
3;413;21/04/2021;R$ 18.022,66;R$ 472.044,99;;;;
3;416;21/04/2021;R$ 6.265,22;R$ 133.530,47;;;;
3;422;21/04/2021;R$ 65,06;R$ 8.470,69;;;;
3;423;21/04/2021;R$ 3.059,60;R$ 138.561,68;;;;
3;428;21/04/2021;R$ 4.470,03;R$ 22.637,73;;;;
3;440;21/04/2021;R$ 2.690,82;R$ 19.752,40;;;;
3;444;21/04/2021;R$ 334,55;R$ 4.518,93;;;;
4;417;21/04/2021;R$ 0;R$ 0,00;;;;
4;424;21/04/2021;R$ 1.891,91;R$ 111.719,73;;;;
4;425;21/04/2021;R$ 538,74;R$ 55.523,11;;;;
4;443;21/04/2021;R$ 895,60;R$ 62.921,01;;;;
7;417;21/04/2021;R$ 0;R$ 0,00;;;;
7;421;21/04/2021;R$ 5.420,66;R$ 460.365,48;;;;
7;422;21/04/2021;R$ 147,66;R$ 8.397,46;;;;
7;423;21/04/2021;R$ 1.587,98;R$ 134.081,48;;;;
7;425;21/04/2021;R$ 1.100,37;R$ 53.701,21;;;;
7;428;21/04/2021;R$ 2.850,72;R$ 44.070,87;;;;
7;431;21/04/2021;R$ 2.055,35;R$ 93.828,00;;;;
7;432;21/04/2021;R$ 359,12;R$ 4.576,64;;;;
7;440;21/04/2021;R$ 1.167,54;R$ 16.086,46;;;;
7;442;21/04/2021;R$ 0;R$ 15,10;;;;
7;444;21/04/2021;R$ 327,60;R$ 4.080,07;;;;
8;414;21/04/2021;R$ 5.651,26;R$ 156.978,91;;;;
8;433;21/04/2021;R$ 21.432,80;R$ 123.747,58;;;;
8;440;21/04/2021;R$ 1.052,04;R$ 15.637,42;;;;
9;417;21/04/2021;R$ 0;R$ 0,00;;;;
9;435;21/04/2021;R$ 12.699,41;R$ 142.466,62;;;;
9;441;21/04/2021;R$ 128,60;R$ 25.614,19;;;;
9;443;21/04/2021;R$ 1.569,58;R$ 66.862,37;;;;
10;412;21/04/2021;R$ 3.867,17;R$ 355.732,71;;;;
10;421;21/04/2021;R$ 4.627,85;R$ 576.080,72;;;;
10;423;21/04/2021;R$ 2.240,57;R$ 129.980,90;;;;
10;431;21/04/2021;R$ 2.064,16;R$ 82.687,71;;;;
10;432;21/04/2021;R$ 169,96;R$ 618,76;;;;
11;413;21/04/2021;R$ 9.569,59;R$ 355.270,63;;;;
11;417;21/04/2021;R$ 0;R$ 1.568,28;;;;
11;420;21/04/2021;R$ 1.331,98;R$ 159.752,36;;;;
11;423;21/04/2021;R$ 2.071,47;R$ 132.391,53;;;;
11;428;21/04/2021;R$ 2.444,89;R$ 23.828,42;;;;
11;432;21/04/2021;R$ 396,74;R$ 589,04;;;;
11;440;21/04/2021;R$ 688,48;R$ 16.996,10;;;;
12;413;21/04/2021;R$ 6.204,88;R$ 389.770,43;;;;
12;426;21/04/2021;R$ 681,67;R$ 19.453,02;;;;
12;434;21/04/2021;R$ 1.308,70;R$ 8.174,65;;;;
12;435;21/04/2021;R$ 12.205,44;R$ 106.848,33;;;;
12;440;21/04/2021;R$ 467,51;R$ 14.144,72;;;;
14;413;21/04/2021;R$ 9.987,47;R$ 339.646,17;;;;
14;428;21/04/2021;R$ 2.622,94;R$ 34.551,58;;;;
14;441;21/04/2021;R$ 260,87;R$ 26.797,65;;;;
15;413;21/04/2021;R$ 14.322,85;R$ 383.793,55;;;;
15;417;21/04/2021;R$ 0;R$ 2.683,93;;;;
15;423;21/04/2021;R$ 3.979,17;R$ 131.465,51;;;;
16;425;21/04/2021;R$ 1.102,34;R$ 57.948,90;;;;
16;427;21/04/2021;R$ 121,65;R$ 15.903,08;;;;
16;436;21/04/2021;R$ 20.713,62;R$ 465.423,99;;;;
17;424;21/04/2021;R$ 3.242,08;R$ 98.233,45;;;;
17;434;21/04/2021;R$ 1.585,30;R$ 8.701,29;;;;
17;441;21/04/2021;R$ 167,09;R$ 15.510,47;;;;
18;420;21/04/2021;R$ 1.476,28;R$ 104.600,15;;;;
18;423;21/04/2021;R$ 1.342,29;R$ 74.575,13;;;;
18;427;21/04/2021;R$ 83,01;R$ 10.767,98;;;;
18;432;21/04/2021;R$ 29,83;R$ 108,85;;;;
18;436;21/04/2021;R$ 16.169,48;R$ 304.168,82;;;;
1;421;22/04/2021;R$ 7.255,94;R$ 544.038,36;;;;
1;442;22/04/2021;R$ 0;R$ 689,48;;;;
2;424;22/04/2021;R$ 2.984,54;R$ 110.181,83;;;;
2;432;22/04/2021;R$ 4,30;R$ 1.348,05;;;;
2;436;22/04/2021;R$ 21.208,64;R$ 397.989,17;;;;
2;445;22/04/2021;R$ 412,46;R$ 21.101,69;;;;
3;423;22/04/2021;R$ 2.534,31;R$ 136.013,12;;;;
3;427;22/04/2021;R$ 60,96;R$ 18.933,15;;;;
3;428;22/04/2021;R$ 4.730,07;R$ 16.353,24;;;;
3;441;22/04/2021;R$ 322,44;R$ 29.956,28;;;;
4;416;22/04/2021;R$ 3.643,88;R$ 98.623,13;;;;
4;423;22/04/2021;R$ 1.302,53;R$ 119.124,89;;;;
4;435;22/04/2021;R$ 9.529,59;R$ 134.076,74;;;;
4;443;22/04/2021;R$ 1.093,68;R$ 64.183,97;;;;
4;444;22/04/2021;R$ 62,70;R$ 3.700,30;;;;
6;422;22/04/2021;R$ 0;R$ 0,00;;;;
7;412;22/04/2021;R$ 2.965,21;R$ 367.731,70;;;;
7;417;22/04/2021;R$ 0;R$ 0,00;;;;
7;430;22/04/2021;R$ 0;R$ 0,00;;;;
7;434;22/04/2021;R$ 1.900,32;R$ 10.699,22;;;;
7;440;22/04/2021;R$ 737,25;R$ 17.006,55;;;;
8;425;22/04/2021;R$ 1.643,10;R$ 57.502,52;;;;
8;432;22/04/2021;R$ 20,68;R$ 120,90;;;;
9;430;22/04/2021;R$ 0;R$ 0,00;;;;
10;431;22/04/2021;R$ 1.565,54;R$ 81.653,36;;;;
10;432;22/04/2021;R$ 165,87;R$ 582,47;;;;
10;440;22/04/2021;R$ 866,76;R$ 13.838,60;;;;
11;421;22/04/2021;R$ 6.118,90;R$ 477.145,47;;;;
12;417;22/04/2021;R$ 0;R$ 0,00;;;;
12;421;22/04/2021;R$ 3.132;R$ 448.011,55;;;;
12;424;22/04/2021;R$ 1.216,52;R$ 98.331,45;;;;
12;425;22/04/2021;R$ 887,48;R$ 37.122,13;;;;
12;431;22/04/2021;R$ 866,88;R$ 77.392,89;;;;
12;434;22/04/2021;R$ 831,51;R$ 8.646,19;;;;
12;445;22/04/2021;R$ 152,04;R$ 14.229,41;;;;
14;422;22/04/2021;R$ 134,01;R$ 9.270,47;;;;
14;432;22/04/2021;R$ 151,73;R$ 795,26;;;;
14;441;22/04/2021;R$ 212,95;R$ 26.542,65;;;;
16;417;22/04/2021;R$ 0;R$ 12.219,06;;;;
16;422;22/04/2021;R$ 56,22;R$ 8.941,46;;;;
16;425;22/04/2021;R$ 826,55;R$ 57.212,40;;;;
16;444;22/04/2021;R$ 33,79;R$ 2.560,12;;;;
17;445;22/04/2021;R$ 357,18;R$ 14.822,14;;;;
18;413;22/04/2021;R$ 6.559,98;R$ 269.954,13;;;;
18;416;22/04/2021;R$ 3.545,39;R$ 88.551,27;;;;
18;428;22/04/2021;R$ 2.940,23;R$ 32.101,06;;;;
1;414;23/04/2021;R$ 7.833,95;R$ 147.188,10;;;;
1;415;23/04/2021;R$ 2.442,64;R$ 108.849,73;;;;
1;434;23/04/2021;R$ 2.696,69;R$ 16.228,74;;;;
1;435;23/04/2021;R$ 16.308,49;R$ 124.525,71;;;;
1;445;23/04/2021;R$ 902,31;R$ 21.602,39;;;;
2;440;23/04/2021;R$ 1.208,76;R$ 13.766,93;;;;
3;443;23/04/2021;R$ 1.920,56;R$ 69.839,10;;;;
4;416;23/04/2021;R$ 4.500,15;R$ 93.243,50;;;;
4;426;23/04/2021;R$ 1.416,37;R$ 24.981,22;;;;
4;427;23/04/2021;R$ 173,42;R$ 17.854,48;;;;
7;435;23/04/2021;R$ 25.651,18;R$ 192.902,26;;;;
8;414;23/04/2021;R$ 8.352,34;R$ 158.933,71;;;;
8;426;23/04/2021;R$ 2.342,03;R$ 23.180,83;;;;
9;420;23/04/2021;R$ 2.452,82;R$ 159.103,18;;;;
9;421;23/04/2021;R$ 13.293,91;R$ 534.220,46;;;;
9;427;23/04/2021;R$ 216,73;R$ 16.668,55;;;;
9;431;23/04/2021;R$ 2.855,16;R$ 78.100,91;;;;
9;443;23/04/2021;R$ 1.933,85;R$ 66.459,09;;;;
10;426;23/04/2021;R$ 1.501,62;R$ 33.236,82;;;;
10;428;23/04/2021;R$ 3.703,43;R$ 26.851,82;;;;
10;430;23/04/2021;R$ 0;R$ 0,00;;;;
10;443;23/04/2021;R$ 1.467,58;R$ 70.380,96;;;;
11;415;23/04/2021;R$ 1.773,86;R$ 113.291,26;;;;
11;416;23/04/2021;R$ 3.706,35;R$ 113.803,78;;;;
11;420;23/04/2021;R$ 3.974,05;R$ 164.427,59;;;;
11;425;23/04/2021;R$ 1.014,19;R$ 68.538,53;;;;
11;426;23/04/2021;R$ 1.644,11;R$ 32.372,64;;;;
11;432;23/04/2021;R$ 429,73;R$ 521,05;;;;
12;411;23/04/2021;R$ 11.657,81;R$ 227.802,78;;;;
12;426;23/04/2021;R$ 827,08;R$ 20.803,64;;;;
12;430;23/04/2021;R$ 0;R$ 0,00;;;;
12;432;23/04/2021;R$ 89,38;R$ 996,63;;;;
14;411;23/04/2021;R$ 22.127,78;R$ 295.259,25;;;;
15;411;23/04/2021;R$ 21.794,32;R$ 256.300,36;;;;
15;422;23/04/2021;R$ 297,52;R$ 6.616,16;;;;
15;440;23/04/2021;R$ 1.268,14;R$ 14.231,56;;;;
15;443;23/04/2021;R$ 2.110,01;R$ 59.067,33;;;;
16;417;23/04/2021;R$ 0;R$ 12.219,06;;;;
16;426;23/04/2021;R$ 2.037,95;R$ 29.686,80;;;;
16;443;23/04/2021;R$ 1.625,22;R$ 63.790,72;;;;
16;445;23/04/2021;R$ 436,97;R$ 20.059,20;;;;
17;417;23/04/2021;R$ 0;R$ 1.199,52;;;;
17;422;23/04/2021;R$ 30,76;R$ 11.030,38;;;;
17;428;23/04/2021;R$ 2.910,97;R$ 16.281,46;;;;
18;414;23/04/2021;R$ 4.243,70;R$ 88.798,98;;;;
18;421;23/04/2021;R$ 7.711,90;R$ 299.415,90;;;;
18;434;23/04/2021;R$ 2.293,80;R$ 10.876,16;;;;
18;436;23/04/2021;R$ 18.968,27;R$ 324.410,47;;;;
18;440;23/04/2021;R$ 857,73;R$ 9.045,22;;;;
1;417;24/04/2021;R$ 0;R$ 0,00;;;;
1;425;24/04/2021;R$ 1.824,56;R$ 55.802,86;;;;
1;427;24/04/2021;R$ 226,45;R$ 18.327,51;;;;
1;445;24/04/2021;R$ 785,64;R$ 20.889,71;;;;
2;428;24/04/2021;R$ 3.980,22;R$ 72.580,10;;;;
2;440;24/04/2021;R$ 1.099,28;R$ 14.164,19;;;;
3;412;24/04/2021;R$ 7.232,51;R$ 362.630,27;;;;
3;415;24/04/2021;R$ 3.988,98;R$ 116.595,53;;;;
3;421;24/04/2021;R$ 24.219,06;R$ 557.577,43;;;;
3;426;24/04/2021;R$ 3.588,26;R$ 37.241,58;;;;
3;427;24/04/2021;R$ 632,75;R$ 18.881,42;;;;
3;432;24/04/2021;R$ 42,46;R$ 164,49;;;;
3;436;24/04/2021;R$ 55.726,09;R$ 537.571,36;;;;
3;444;24/04/2021;R$ 890,34;R$ 3.621,41;;;;
3;445;24/04/2021;R$ 707,96;R$ 23.772,34;;;;
4;411;24/04/2021;R$ 23.860,07;R$ 269.553,83;;;;
4;420;24/04/2021;R$ 1.093,97;R$ 113.535,41;;;;
4;424;24/04/2021;R$ 2.630,34;R$ 105.608,86;;;;
4;426;24/04/2021;R$ 1.688,39;R$ 23.304,97;;;;
4;442;24/04/2021;R$ 0;R$ 450,00;;;;
4;443;24/04/2021;R$ 1.438,71;R$ 61.630,46;;;;
6;420;24/04/2021;R$ 0;R$ 0,00;;;;
8;413;24/04/2021;R$ 19.280,02;R$ 393.511,33;;;;
8;416;24/04/2021;R$ 7.479,14;R$ 115.641,11;;;;
8;427;24/04/2021;R$ 202,07;R$ 13.675,22;;;;
8;433;24/04/2021;R$ 29.811,21;R$ 110.536,46;;;;
8;442;24/04/2021;R$ 0;R$ 0,00;;;;
9;412;24/04/2021;R$ 4.369,40;R$ 367.446,77;;;;
9;416;24/04/2021;R$ 5.044,62;R$ 128.965,15;;;;
9;430;24/04/2021;R$ 0;R$ 0,00;;;;
9;443;24/04/2021;R$ 2.090,82;R$ 65.598,41;;;;
11;417;24/04/2021;R$ 0;R$ 1.568,28;;;;
11;425;24/04/2021;R$ 1.506,39;R$ 67.634,60;;;;
11;430;24/04/2021;R$ 0;R$ 0,00;;;;
11;440;24/04/2021;R$ 1.426,75;R$ 15.518,47;;;;
11;443;24/04/2021;R$ 1.922,83;R$ 66.228,18;;;;
12;425;24/04/2021;R$ 1.042,38;R$ 41.366,00;;;;
12;443;24/04/2021;R$ 945,06;R$ 57.636,47;;;;
14;416;24/04/2021;R$ 6.403,65;R$ 108.802,85;;;;
15;412;24/04/2021;R$ 6.274,38;R$ 363.180,47;;;;
15;421;24/04/2021;R$ 17.435,19;R$ 553.179,59;;;;
15;441;24/04/2021;R$ 359,65;R$ 14.024,02;;;;
15;442;24/04/2021;R$ 0;R$ 154,60;;;;
16;415;24/04/2021;R$ 2.772,27;R$ 92.197,40;;;;
16;445;24/04/2021;R$ 565,45;R$ 19.517,60;;;;
17;414;24/04/2021;R$ 6.088,39;R$ 119.582,56;;;;
17;424;24/04/2021;R$ 3.963,66;R$ 102.714,57;;;;
17;431;24/04/2021;R$ 3.019,67;R$ 90.824,39;;;;
17;432;24/04/2021;R$ 411,03;R$ 2.287,09;;;;
17;433;24/04/2021;R$ 20.889,50;R$ 93.654,11;;;;
17;441;24/04/2021;R$ 268,57;R$ 14.915,16;;;;
18;412;24/04/2021;R$ 3.855,54;R$ 243.367,12;;;;
18;416;24/04/2021;R$ 4.511,70;R$ 87.656,01;;;;
18;420;24/04/2021;R$ 3.158,03;R$ 100.913,11;;;;
18;428;24/04/2021;R$ 3.421,90;R$ 29.119,62;;;;
18;440;24/04/2021;R$ 1.256,56;R$ 8.923,61;;;;
18;441;24/04/2021;R$ 233,60;R$ 14.224,41;;;;
18;444;24/04/2021;R$ 432,88;R$ 1.700,87;;;;
18;445;24/04/2021;R$ 362,76;R$ 17.055,46;;;;
1;421;25/04/2021;R$ 0;R$ 533.244,34;;;;
1;430;25/04/2021;R$ 0;R$ 109,08;;;;
1;436;25/04/2021;R$ 0;R$ 496.525,28;;;;
1;443;25/04/2021;R$ 0;R$ 68.904,27;;;;
2;415;25/04/2021;R$ 0;R$ 99.348,54;;;;
2;423;25/04/2021;R$ 0;R$ 130.092,98;;;;
2;428;25/04/2021;R$ 0;R$ 72.580,10;;;;
2;433;25/04/2021;R$ 0;R$ 116.478,56;;;;
3;414;25/04/2021;R$ 0;R$ 193.189,87;;;;
3;424;25/04/2021;R$ 0;R$ 98.482,73;;;;
3;434;25/04/2021;R$ 0;R$ 17.938,05;;;;
4;423;25/04/2021;R$ 0;R$ 118.402,35;;;;
4;426;25/04/2021;R$ 0;R$ 23.261,16;;;;
6;422;25/04/2021;R$ 0;R$ 0,00;;;;
7;427;25/04/2021;R$ 0;R$ 13.345,32;;;;
7;430;25/04/2021;R$ 0;R$ 0,00;;;;
8;411;25/04/2021;R$ 994,17;R$ 332.492,67;;;;
8;431;25/04/2021;R$ 19,94;R$ 127.505,77;;;;
9;422;25/04/2021;R$ 0;R$ 8.816,93;;;;
9;423;25/04/2021;R$ 0;R$ 127.062,28;;;;
9;425;25/04/2021;R$ 0;R$ 57.074,90;;;;
9;428;25/04/2021;R$ 0;R$ 48.074,55;;;;
9;433;25/04/2021;R$ 0;R$ 120.134,76;;;;
9;434;25/04/2021;R$ 0;R$ 9.594,94;;;;
9;435;25/04/2021;R$ 0;R$ 127.218,09;;;;
9;436;25/04/2021;R$ 0;R$ 453.374,93;;;;
9;441;25/04/2021;R$ 0;R$ 24.964,94;;;;
10;416;25/04/2021;R$ 0;R$ 107.649,16;;;;
10;425;25/04/2021;R$ 0;R$ 61.052,66;;;;
10;426;25/04/2021;R$ 0;R$ 30.666,02;;;;
10;433;25/04/2021;R$ 0;R$ 99.394,42;;;;
10;440;25/04/2021;R$ 0;R$ 11.278,01;;;;
11;414;25/04/2021;R$ 0;R$ 143.707,44;;;;
11;422;25/04/2021;R$ 0;R$ 9.656,47;;;;
11;430;25/04/2021;R$ 0;R$ 0,00;;;;
11;433;25/04/2021;R$ 0;R$ 94.575,41;;;;
12;420;25/04/2021;R$ 1.929,87;R$ 128.600,97;;;;
12;435;25/04/2021;R$ 15.723,99;R$ 101.330,73;;;;
12;441;25/04/2021;R$ 163,46;R$ 15.947,42;;;;
14;411;25/04/2021;R$ 0;R$ 286.124,93;;;;
14;415;25/04/2021;R$ 0;R$ 96.582,91;;;;
14;424;25/04/2021;R$ 0;R$ 95.458,54;;;;
14;433;25/04/2021;R$ 0;R$ 107.277,40;;;;
14;434;25/04/2021;R$ 0;R$ 9.661,90;;;;
15;423;25/04/2021;R$ 0;R$ 129.959,01;;;;
15;427;25/04/2021;R$ 0;R$ 11.846,88;;;;
15;432;25/04/2021;R$ 0;R$ 529,84;;;;
15;440;25/04/2021;R$ 0;R$ 14.977,20;;;;
16;415;25/04/2021;R$ 134,71;R$ 92.040,70;;;;
16;416;25/04/2021;R$ 678,59;R$ 127.985,54;;;;
16;431;25/04/2021;R$ 35,98;R$ 92.803,29;;;;
16;434;25/04/2021;R$ 23,71;R$ 9.742,73;;;;
17;420;25/04/2021;R$ 0;R$ 123.246,07;;;;
17;421;25/04/2021;R$ 0;R$ 471.743,94;;;;
17;435;25/04/2021;R$ 0;R$ 115.400,40;;;;
17;436;25/04/2021;R$ 47,90;R$ 404.059,81;;;;
17;440;25/04/2021;R$ 0;R$ 16.072,21;;;;
18;411;25/04/2021;R$ 0;R$ 168.270,44;;;;
18;423;25/04/2021;R$ 0;R$ 76.474,11;;;;
18;428;25/04/2021;R$ 0;R$ 29.377,07;;;;
18;432;25/04/2021;R$ 0;R$ 208,44;;;;
18;435;25/04/2021;R$ 0;R$ 132.949,74;;;;
18;444;25/04/2021;R$ 0;R$ 1.695,84;;;;
1;412;26/04/2021;R$ 5.492,98;R$ 365.412,72;;;;
1;433;26/04/2021;R$ 22.102,85;R$ 147.920,79;;;;
1;434;26/04/2021;R$ 2.457,44;R$ 15.783,75;;;;
1;436;26/04/2021;R$ 28.927,89;R$ 498.880,42;;;;
2;427;26/04/2021;R$ 202,75;R$ 16.618,74;;;;
2;443;26/04/2021;R$ 2.276,64;R$ 62.810,19;;;;
2;445;26/04/2021;R$ 773,43;R$ 21.326,72;;;;
3;420;26/04/2021;R$ 1.201,51;R$ 198.324,15;;;;
4;415;26/04/2021;R$ 2.061,81;R$ 96.329,76;;;;
4;443;26/04/2021;R$ 1.492,90;R$ 60.743,56;;;;
4;445;26/04/2021;R$ 566,76;R$ 18.874,43;;;;
6;411;26/04/2021;R$ 0;R$ 763,03;;;;
6;422;26/04/2021;R$ 0;R$ 0,00;;;;
8;425;26/04/2021;R$ 1.203,79;R$ 65.281,85;;;;
8;430;26/04/2021;R$ 0;R$ 0,00;;;;
8;443;26/04/2021;R$ 2.944,39;R$ 62.662,69;;;;
9;413;26/04/2021;R$ 12.567,13;R$ 394.713,23;;;;
9;415;26/04/2021;R$ 2.883,54;R$ 101.437,02;;;;
9;417;26/04/2021;R$ 0;R$ 0,00;;;;
9;428;26/04/2021;R$ 4.717,46;R$ 46.704,84;;;;
9;432;26/04/2021;R$ 0;R$ 848,63;;;;
10;427;26/04/2021;R$ 139,22;R$ 11.029,11;;;;
10;433;26/04/2021;R$ 14.579,33;R$ 101.768,24;;;;
11;422;26/04/2021;R$ 34,47;R$ 10.802,07;;;;
11;444;26/04/2021;R$ 69,94;R$ 2.671,66;;;;
12;421;26/04/2021;R$ 2.161,30;R$ 444.118,77;;;;
12;425;26/04/2021;R$ 533,22;R$ 40.344,99;;;;
12;426;26/04/2021;R$ 424,06;R$ 17.947,21;;;;
12;445;26/04/2021;R$ 121,14;R$ 14.766,30;;;;
14;425;26/04/2021;R$ 731,25;R$ 47.560,66;;;;
14;427;26/04/2021;R$ 352,08;R$ 10.772,27;;;;
15;432;26/04/2021;R$ 391,21;R$ 1.327,23;;;;
16;412;26/04/2021;R$ 4.133,37;R$ 355.977,03;;;;
16;445;26/04/2021;R$ 297,93;R$ 20.666,70;;;;
17;420;26/04/2021;R$ 464,32;R$ 129.811,52;;;;
17;421;26/04/2021;R$ 3.954,33;R$ 475.310,84;;;;
17;435;26/04/2021;R$ 11.208,79;R$ 114.349,63;;;;
18;412;26/04/2021;R$ 3.005,96;R$ 246.518,23;;;;
18;421;26/04/2021;R$ 1.994,90;R$ 297.320,96;;;;
18;426;26/04/2021;R$ 1.160,23;R$ 13.725,78;;;;
18;436;26/04/2021;R$ 20.595,97;R$ 314.292,46;;;;
1;430;27/04/2021;R$ 0;R$ 109,08;;;;
2;415;27/04/2021;R$ 2.235,57;R$ 97.710,69;;;;
2;423;27/04/2021;R$ 2.102,07;R$ 123.893,25;;;;
3;420;27/04/2021;R$ 1.934,84;R$ 213.075,93;;;;
3;441;27/04/2021;R$ 218,35;R$ 22.207,37;;;;
4;416;27/04/2021;R$ 4.154,28;R$ 106.622,36;;;;
4;420;27/04/2021;R$ 603,59;R$ 123.117,61;;;;
4;436;27/04/2021;R$ 18.504,58;R$ 463.720,37;;;;
6;422;27/04/2021;R$ 0;R$ 0,00;;;;
7;432;27/04/2021;R$ 304,70;R$ 4.076,43;;;;
7;440;27/04/2021;R$ 799,33;R$ 15.100,38;;;;
