FILIAL;SECAO;DATA;CMV;VALOR ESTOQUE;;VL_ESTQ;CMV;TOTAL
16;414;03/04/2021;R$ 8.625,19;R$ 155.228,98;;;;
16;416;03/04/2021;R$ 6.018,67;R$ 132.261,73;;;;
16;423;03/04/2021;R$ 17.499,35;R$ 114.980,72;;;;
16;424;03/04/2021;R$ 5.121,16;R$ 101.400,64;;;;
16;428;03/04/2021;R$ 3.477,79;R$ 14.601,61;;;;
17;417;03/04/2021;R$ 0;R$ 1.199,52;;;;
17;425;03/04/2021;R$ 3.454,67;R$ 48.139,56;;;;
17;428;03/04/2021;R$ 4.110,33;R$ 8.866,73;;;;
17;435;03/04/2021;R$ 26.420,30;R$ 152.476,84;;;;
17;440;03/04/2021;R$ 3.039,13;R$ 14.886,02;;;;
18;428;03/04/2021;R$ 4.628,08;R$ 47.011,14;;;;
18;436;03/04/2021;R$ 27.929,32;R$ 296.588,61;;;;
18;440;03/04/2021;R$ 1.416,20;R$ 7.555,58;;;;
18;445;03/04/2021;R$ 247,78;R$ 19.465,49;;;;
1;440;04/04/2021;R$ 0;R$ 14.671,92;;;;
2;424;04/04/2021;R$ 0;R$ 107.490,80;;;;
3;416;04/04/2021;R$ 0;R$ 135.556,35;;;;
3;424;04/04/2021;R$ 0;R$ 91.412,19;;;;
3;431;04/04/2021;R$ 0;R$ 95.123,45;;;;
3;435;04/04/2021;R$ 0;R$ 165.171,65;;;;
4;423;04/04/2021;R$ 0;R$ 119.632,57;;;;
4;424;04/04/2021;R$ 0;R$ 102.919,72;;;;
4;436;04/04/2021;R$ 0;R$ 477.975,71;;;;
4;440;04/04/2021;R$ 0;R$ 7.433,53;;;;
4;443;04/04/2021;R$ 0;R$ 61.329,07;;;;
7;411;04/04/2021;R$ 0;R$ 306.307,18;;;;
7;424;04/04/2021;R$ 0;R$ 102.973,28;;;;
7;441;04/04/2021;R$ 0;R$ 28.570,30;;;;
8;414;04/04/2021;R$ 0;R$ 143.932,31;;;;
8;424;04/04/2021;R$ 0;R$ 87.146,10;;;;
8;432;04/04/2021;R$ 0;R$ 114,03;;;;
8;441;04/04/2021;R$ 0;R$ 23.723,41;;;;
9;423;04/04/2021;R$ 0;R$ 122.643,35;;;;
9;425;04/04/2021;R$ 0;R$ 54.181,96;;;;
10;424;04/04/2021;R$ 0;R$ 120.424,42;;;;
10;428;04/04/2021;R$ 0;R$ 32.371,84;;;;
10;431;04/04/2021;R$ 0;R$ 77.937,45;;;;
10;436;04/04/2021;R$ 0;R$ 509.022,46;;;;
10;441;04/04/2021;R$ 0;R$ 24.749,81;;;;
10;442;04/04/2021;R$ 0;R$ 49,50;;;;
10;445;04/04/2021;R$ 0;R$ 25.219,29;;;;
11;412;04/04/2021;R$ 0;R$ 321.772,09;;;;
11;423;04/04/2021;R$ 0;R$ 140.028,18;;;;
11;426;04/04/2021;R$ 0;R$ 28.660,68;;;;
12;421;04/04/2021;R$ 0;R$ 444.779,08;;;;
12;422;04/04/2021;R$ 0;R$ 7.882,45;;;;
12;423;04/04/2021;R$ 0;R$ 105.101,17;;;;
14;416;04/04/2021;R$ 0;R$ 106.208,50;;;;
14;421;04/04/2021;R$ 0;R$ 491.374,24;;;;
14;423;04/04/2021;R$ 0;R$ 101.060,82;;;;
14;430;04/04/2021;R$ 0;R$ 0,00;;;;
14;442;04/04/2021;R$ 0;R$ 0,00;;;;
15;417;04/04/2021;R$ 0;R$ 2.683,93;;;;
15;420;04/04/2021;R$ 0;R$ 193.733,59;;;;
15;421;04/04/2021;R$ 0;R$ 559.859,70;;;;
16;414;04/04/2021;R$ 0;R$ 148.870,19;;;;
16;415;04/04/2021;R$ 0;R$ 96.550,05;;;;
16;424;04/04/2021;R$ 0;R$ 105.108,30;;;;
16;425;04/04/2021;R$ 0;R$ 61.966,35;;;;
16;426;04/04/2021;R$ 0;R$ 28.977,10;;;;
16;432;04/04/2021;R$ 0;R$ 8.182,97;;;;
16;436;04/04/2021;R$ 0;R$ 472.011,11;;;;
16;443;04/04/2021;R$ 0;R$ 62.949,92;;;;
17;434;04/04/2021;R$ 0;R$ 9.814,34;;;;
17;436;04/04/2021;R$ 0;R$ 442.578,06;;;;
17;440;04/04/2021;R$ 0;R$ 14.388,82;;;;
18;417;04/04/2021;R$ 0;R$ 0,00;;;;
1;433;05/04/2021;R$ 20.504,78;R$ 156.219,64;;;;
1;440;05/04/2021;R$ 700,23;R$ 14.671,92;;;;
2;420;05/04/2021;R$ 818,66;R$ 150.743,55;;;;
2;428;05/04/2021;R$ 3.023,10;R$ 49.830,10;;;;
2;435;05/04/2021;R$ 12.742,69;R$ 152.553,61;;;;
2;441;05/04/2021;R$ 325,58;R$ 24.810,11;;;;
2;443;05/04/2021;R$ 1.908,74;R$ 63.441,87;;;;
2;444;05/04/2021;R$ 27,09;R$ 3.649,82;;;;
3;415;05/04/2021;R$ 2.489,08;R$ 118.456,44;;;;
3;417;05/04/2021;R$ 0;R$ 0,00;;;;
3;420;05/04/2021;R$ 1.082,47;R$ 174.439,97;;;;
3;421;05/04/2021;R$ 4.056,67;R$ 571.020,47;;;;
3;427;05/04/2021;R$ 133,76;R$ 20.736,41;;;;
3;436;05/04/2021;R$ 30.155,63;R$ 547.691,12;;;;
3;442;05/04/2021;R$ 0;R$ 0,00;;;;
3;445;05/04/2021;R$ 530,39;R$ 29.964,16;;;;
4;417;05/04/2021;R$ 0;R$ 0,00;;;;
4;422;05/04/2021;R$ 40,26;R$ 8.481,91;;;;
4;431;05/04/2021;R$ 1.181,66;R$ 108.693,53;;;;
4;440;05/04/2021;R$ 437,59;R$ 7.433,53;;;;
6;420;05/04/2021;R$ 0;R$ 0,00;;;;
6;423;05/04/2021;R$ 0;R$ 781,32;;;;
7;421;05/04/2021;R$ 2.482,71;R$ 461.467,30;;;;
7;433;05/04/2021;R$ 13.139,37;R$ 100.107,95;;;;
7;435;05/04/2021;R$ 12.271,45;R$ 162.848,26;;;;
7;442;05/04/2021;R$ 0;R$ 15,10;;;;
8;417;05/04/2021;R$ 0;R$ 0,00;;;;
8;420;05/04/2021;R$ 1.323,93;R$ 166.497,16;;;;
8;422;05/04/2021;R$ 166,41;R$ 6.107,53;;;;
9;416;05/04/2021;R$ 4.593,44;R$ 134.553,88;;;;
9;417;05/04/2021;R$ 0;R$ 0,00;;;;
9;424;05/04/2021;R$ 2.460,83;R$ 90.742,56;;;;
9;432;05/04/2021;R$ 0;R$ 848,63;;;;
10;414;05/04/2021;R$ 3.670,46;R$ 144.046,41;;;;
10;416;05/04/2021;R$ 3.731,83;R$ 104.785,48;;;;
10;421;05/04/2021;R$ 2.322,85;R$ 552.436,88;;;;
10;444;05/04/2021;R$ 59,04;R$ 1.891,89;;;;
11;416;05/04/2021;R$ 4.377,81;R$ 112.086,21;;;;
11;428;05/04/2021;R$ 2.694,98;R$ 27.948,25;;;;
11;431;05/04/2021;R$ 2.228,47;R$ 122.967,45;;;;
11;433;05/04/2021;R$ 15.323,61;R$ 108.772,05;;;;
11;434;05/04/2021;R$ 1.624,37;R$ 9.818,68;;;;
