FILIAL;SECAO;DATA;TOTAL
15;436;07/04/2021;R$38757,22;
16;412;07/04/2021;R$4703,02;
16;417;07/04/2021;R$0;
16;427;07/04/2021;R$16,99;
16;432;07/04/2021;R$1240,66;
16;444;07/04/2021;R$33,98;
17;420;07/04/2021;R$671,08;
17;427;07/04/2021;R$203,64;
17;431;07/04/2021;R$3565,38;
17;434;07/04/2021;R$6519,98;
17;436;07/04/2021;R$30570,89;
17;444;07/04/2021;R$128,24;
18;424;07/04/2021;R$3761,8;
18;434;07/04/2021;R$5151,75;
18;436;07/04/2021;R$24189,45;
18;445;07/04/2021;R$433,47;
1;420;08/04/2021;R$2736,03;
1;424;08/04/2021;R$4683,91;
1;443;08/04/2021;R$4510,15;
2;411;08/04/2021;R$16587,71;
2;425;08/04/2021;R$1232,06;
3;413;08/04/2021;R$24325,85;
3;426;08/04/2021;R$3143,91;
3;436;08/04/2021;R$56303,71;
4;413;08/04/2021;R$14121,55;
4;427;08/04/2021;R$251,71;
7;411;08/04/2021;R$18638,55;
7;431;08/04/2021;R$3015,04;
7;435;08/04/2021;R$27246,31;
7;436;08/04/2021;R$37204,37;
7;443;08/04/2021;R$3263,99;
7;445;08/04/2021;R$911,33;
8;426;08/04/2021;R$1870,97;
8;428;08/04/2021;R$8998,93;
8;440;08/04/2021;R$3231,03;
9;414;08/04/2021;R$10112,6;
9;423;08/04/2021;R$3403,85;
9;426;08/04/2021;R$2300,51;
9;430;08/04/2021;R$0;
9;435;08/04/2021;R$24778,17;
9;436;08/04/2021;R$40809,72;
10;415;08/04/2021;R$2868,65;
10;416;08/04/2021;R$7568,4;
10;430;08/04/2021;R$0;
10;434;08/04/2021;R$5819,71;
10;435;08/04/2021;R$17833,06;
11;417;08/04/2021;R$0;
11;433;08/04/2021;R$26555,66;
12;420;08/04/2021;R$1867,08;
14;422;08/04/2021;R$49,8;
14;428;08/04/2021;R$8432,81;
14;431;08/04/2021;R$3108,91;
14;432;08/04/2021;R$358,03;
14;433;08/04/2021;R$21837,32;
15;436;08/04/2021;R$38207,35;
15;440;08/04/2021;R$2655,91;
15;444;08/04/2021;R$275,98;
16;424;08/04/2021;R$5390,2;
16;435;08/04/2021;R$25606;
17;417;08/04/2021;R$0;
17;425;08/04/2021;R$1370,57;
17;427;08/04/2021;R$424,2;
17;432;08/04/2021;R$583,75;
17;445;08/04/2021;R$390,1;
18;416;08/04/2021;R$5721,07;
18;423;08/04/2021;R$1526,64;
18;425;08/04/2021;R$942,29;
18;435;08/04/2021;R$18832;
18;436;08/04/2021;R$22395,42;
18;440;08/04/2021;R$1874,24;
18;444;08/04/2021;R$135,3;
1;414;09/04/2021;R$12289,18;
1;416;09/04/2021;R$9885,21;
1;423;09/04/2021;R$3758,92;
1;427;09/04/2021;R$680,88;
1;434;09/04/2021;R$11244,63;
1;440;09/04/2021;R$3784,66;
1;445;09/04/2021;R$1201,05;
2;420;09/04/2021;R$1993,93;
2;422;09/04/2021;R$75,86;
2;444;09/04/2021;R$508;
3;412;09/04/2021;R$9176,62;
3;416;09/04/2021;R$10726,77;
3;424;09/04/2021;R$9089,47;
3;426;09/04/2021;R$3372,44;
3;432;09/04/2021;R$97,99;
3;445;09/04/2021;R$701,65;
4;412;09/04/2021;R$4266,31;
4;415;09/04/2021;R$2996,86;
4;428;09/04/2021;R$9185,35;
